Day,Date,Content
Saturday,06-01-2024,Epiphany
Wednesday,14-02-2024,Ash Wednesday
Sunday,24-03-2024,Palm Sunday
Thursday,28-03-2024,Maundy Thursday
Friday,29-03-2024,Good Friday
Saturday,30-03-2024,Holy Saturday
Sunday,31-03-2024,Easter Sunday
Thursday,09-05-2024,Ascension Day
Sunday,19-05-2024,Pentecost
Sunday,26-05-2024,Trinity Sunday
Thursday,30-05-2024,Corpus Christi
Friday,01-11-2024,All Saints' Day
Sunday,01-12-2024,Advent (First Sunday)
Tuesday,24-12-2024,Christmas Eve
Wednesday,25-12-2024,Christmas Day
Monday,06-01-2025,Epiphany
Wednesday,05-03-2025,Ash Wednesday
Sunday,13-04-2025,Palm Sunday
Thursday,17-04-2025,Maundy Thursday
Friday,18-04-2025,Good Friday
Saturday,19-04-2025,Holy Saturday
Sunday,20-04-2025,Easter Sunday
Thursday,29-05-2025,Ascension Day
Sunday,08-06-2025,Pentecost
Sunday,15-06-2025,Trinity Sunday
Thursday,19-06-2025,Corpus Christi
Saturday,01-11-2025,All Saints' Day
Sunday,30-11-2025,Advent (First Sunday)
Wednesday,24-12-2025,Christmas Eve
Thursday,25-12-2025,Christmas Day
Tuesday,06-01-2026,Epiphany
Wednesday,18-02-2026,Ash Wednesday
Sunday,29-03-2026,Palm Sunday
Thursday,02-04-2026,Maundy Thursday
Friday,03-04-2026,Good Friday
Saturday,04-04-2026,Holy Saturday
Sunday,05-04-2026,Easter Sunday
Thursday,14-05-2026,Ascension Day
Sunday,24-05-2026,Pentecost
Sunday,31-05-2026,Trinity Sunday
Thursday,04-06-2026,Corpus Christi
Sunday,01-11-2026,All Saints' Day
Sunday,29-11-2026,Advent (First Sunday)
Thursday,24-12-2026,Christmas Eve
Friday,25-12-2026,Christmas Day
Wednesday,06-01-2027,Epiphany
Wednesday,10-02-2027,Ash Wednesday
Sunday,21-03-2027,Palm Sunday
Thursday,25-03-2027,Maundy Thursday
Friday,26-03-2027,Good Friday
Saturday,27-03-2027,Holy Saturday
Sunday,28-03-2027,Easter Sunday
Thursday,06-05-2027,Ascension Day
Sunday,16-05-2027,Pentecost
Sunday,23-05-2027,Trinity Sunday
Thursday,27-05-2027,Corpus Christi
Monday,01-11-2027,All Saints' Day
Sunday,28-11-2027,Advent (First Sunday)
Friday,24-12-2027,Christmas Eve
Saturday,25-12-2027,Christmas Day
Thursday,06-01-2028,Epiphany
Wednesday,01-03-2028,Ash Wednesday
Sunday,09-04-2028,Palm Sunday
Thursday,13-04-2028,Maundy Thursday
Friday,14-04-2028,Good Friday
Saturday,15-04-2028,Holy Saturday
Sunday,16-04-2028,Easter Sunday
Thursday,25-05-2028,Ascension Day
Sunday,04-06-2028,Pentecost
Sunday,11-06-2028,Trinity Sunday
Thursday,15-06-2028,Corpus Christi
Wednesday,01-11-2028,All Saints' Day
Sunday,03-12-2028,Advent (First Sunday)
Sunday,24-12-2028,Christmas Eve
Monday,25-12-2028,Christmas Day
Saturday,06-01-2029,Epiphany
Wednesday,14-02-2029,Ash Wednesday
Sunday,25-03-2029,Palm Sunday
Thursday,29-03-2029,Maundy Thursday
Friday,30-03-2029,Good Friday
Saturday,31-03-2029,Holy Saturday
Sunday,01-04-2029,Easter Sunday
Thursday,10-05-2029,Ascension Day
Sunday,20-05-2029,Pentecost
Sunday,27-05-2029,Trinity Sunday
Thursday,31-05-2029,Corpus Christi
Thursday,01-11-2029,All Saints' Day
Sunday,02-12-2029,Advent (First Sunday)
Monday,24-12-2029,Christmas Eve
Tuesday,25-12-2029,Christmas Day
Monday,06-01-2030,Epiphany
Wednesday,06-03-2030,Ash Wednesday
Sunday,14-04-2030,Palm Sunday
Thursday,18-04-2030,Maundy Thursday
Friday,19-04-2030,Good Friday
Saturday,20-04-2030,Holy Saturday
Sunday,21-04-2030,Easter Sunday
Thursday,30-05-2030,Ascension Day
Sunday,09-06-2030,Pentecost
Sunday,16-06-2030,Trinity Sunday
Thursday,20-06-2030,Corpus Christi
Friday,01-11-2030,All Saints' Day
Sunday,01-12-2030,Advent (First Sunday)
Tuesday,24-12-2030,Christmas Eve
Wednesday,25-12-2030,Christmas Day
